DATE,PLANT,MATERIAL,RANKING
20210315,D145,10000069,1
20210316,D074,10000050,1
20210316,D075,10000050,1
20210316,D077,10000050,1
20210316,D079,10000050,1
20210316,D081,10000050,1
20210316,D083,10000050,1
20210316,D084,10000050,1
20210316,D084,10040465,1
20210316,D085,10000050,1
20210316,D086,10000050,1
20210316,D086,10000069,1
20210316,D093,10000050,1
20210316,D098,10000050,1
20210316,D101,10000050,1
20210316,D105,10000050,1
20210316,D105,10040465,1
20210316,D120,10000050,1
20210316,D144,10000050,1
20210316,D145,10000050,1
20210316,D145,10000069,1
20210316,D677,10000050,1
20210317,D074,10000050,1
20210317,D075,10000050,1
20210317,D077,10000050,1
20210317,D079,10000050,1
20210317,D079,10000906,1
20210317,D081,10000050,1
20210317,D083,10000050,1
20210317,D083,10040465,1
20210317,D084,10000000,1
20210317,D084,10000050,1
20210317,D085,10000050,1
20210317,D086,10000050,1
20210317,D086,10000069,1
20210317,D093,10000050,1
20210317,D098,10000050,1
20210317,D101,10000050,1
20210317,D101,10000069,1
20210317,D105,10000050,1
20210317,D120,10000050,1
20210317,D136,10000000,1
20210317,D144,10000050,1
20210317,D145,10000050,1
20210317,D145,10000069,1
20210317,D677,10000050,1
20210318,D074,10000050,1
20210318,D075,10000050,1
20210318,D077,10000050,1
20210318,D079,10000050,1
20210318,D079,10000906,1
20210318,D080,10000050,1
20210318,D081,10000050,1
20210318,D083,10000050,1
20210318,D084,10000050,1
20210318,D085,10000050,1
20210318,D086,10000050,1
20210318,D086,10000069,1
20210318,D093,10000050,1
20210318,D098,10000050,1
20210318,D101,10000050,1
20210318,D105,10000050,1
20210318,D111,10000050,1
20210318,D111,10000906,1
20210318,D120,10000050,1
20210318,D120,10040465,1
20210318,D144,10000050,1
20210318,D145,10000050,1
20210318,D145,10000069,1
20210318,D677,10000050,1
20210319,D074,10000050,1
20210319,D075,10000050,1
20210319,D077,10000050,1
20210319,D079,10000050,1
20210319,D079,10040465,1
20210319,D080,10000050,1
20210319,D081,10000050,1
20210319,D083,10000050,1
20210319,D084,10000050,1
20210319,D085,10000050,1
20210319,D086,10000050,1
20210319,D086,10000069,1
20210319,D093,10000050,1
20210319,D098,10000050,1
20210319,D101,10000050,1
20210319,D101,10000069,1
20210319,D105,10040465,1
20210319,D111,10000050,1
20210319,D111,10000906,1
20210319,D120,10000050,1
20210319,D144,10000050,1
20210319,D145,10000050,1
20210319,D145,10000069,1
20210319,D677,10000050,1
20210320,D074,10000050,1
20210320,D074,10000069,1
20210320,D075,10000050,1
20210320,D077,10000050,1
20210320,D079,10000050,1
20210320,D080,10000050,1
20210320,D081,10000050,1
20210320,D081,10000906,1
20210320,D083,10000050,1
20210320,D085,10000050,1
20210320,D085,10000069,1
20210320,D086,10000050,1
20210320,D086,10000069,1
20210320,D093,10000050,1
20210320,D098,10000050,1
20210320,D098,10000906,1
20210320,D101,10000050,1
20210320,D101,10000069,1
20210320,D105,10000050,1
20210320,D111,10000906,1
20210320,D120,10000050,1
20210320,D136,10000000,1
20210320,D144,10000050,1
20210320,D145,10000050,1
20210320,D677,10000050,1
20210321,D074,10000050,1
20210322,D074,10000050,1
20210322,D075,10000050,1
20210322,D075,10000069,1
20210322,D077,10000050,1
20210322,D079,10000050,1
20210322,D080,10000050,1
20210322,D081,10000050,1
20210322,D083,10000050,1
20210322,D083,10040465,1
20210322,D084,10000050,1
20210322,D085,10000050,1
20210322,D093,10000050,1
20210322,D098,10000050,1
20210322,D101,10000050,1
20210322,D101,10000069,1
20210322,D105,10000050,1
20210322,D105,10040465,1
20210322,D144,10000050,1
20210322,D145,10000050,1
20210322,D145,10000069,1
20210322,D677,10000050,1
20210323,D074,10000050,1
20210323,D075,10000050,1
20210323,D077,10000050,1
20210323,D079,10000050,1
20210323,D079,10040465,1
20210323,D083,10000050,1
20210323,D085,10000050,1
20210323,D086,10000050,1
20210323,D086,10000069,1
20210323,D093,10000050,1
20210323,D098,10000050,1
20210323,D101,10000050,1
20210323,D101,10000069,1
20210323,D105,10000050,1
20210323,D120,10000050,1
20210323,D144,10000050,1
20210323,D145,10000050,1
20210323,D145,10000069,1
20210323,D677,10000050,1
20210324,D074,10000050,1
20210324,D074,10000069,1
20210324,D075,10000050,1
20210324,D075,10000069,1
20210324,D077,10000050,1
20210324,D077,10000069,1
20210324,D079,10000050,1
20210324,D080,10000050,1
20210324,D081,10000050,1
20210324,D083,10000050,1
20210324,D083,10040465,1
20210324,D085,10000050,1
20210324,D086,10000050,1
20210324,D086,10000069,1
20210324,D093,10000050,1
20210324,D098,10000050,1
20210324,D101,10000050,1
20210324,D101,10000069,1
20210324,D105,10040465,1
20210324,D120,10000050,1
20210324,D144,10000050,1
20210324,D145,10000050,1
20210324,D145,10000069,1
20210324,D677,10000050,1
20210324,D677,10000906,1
20210325,D074,10000050,1
20210325,D075,10000050,1
20210325,D075,10000069,1
20210325,D077,10000050,1
20210325,D079,10000050,1
20210325,D079,10000906,1
20210325,D080,10000050,1
20210325,D081,10000050,1
20210325,D083,10000050,1
20210325,D085,10000050,1
20210325,D086,10000050,1
20210325,D086,10000069,1
20210325,D093,10000050,1
20210325,D098,10000050,1
20210325,D101,10000050,1
20210325,D105,10000050,1
20210325,D105,10040465,1
20210325,D111,10000050,1
20210325,D111,10000906,1
20210325,D120,10000050,1
20210325,D144,10000050,1
20210325,D145,10000050,1
20210325,D145,10000069,1
20210325,D677,10000050,1
20210326,D074,10000050,1
20210326,D075,10000050,1
20210326,D075,10000069,1
20210326,D077,10000050,1
20210326,D077,10000906,1
20210326,D079,10000050,1
20210326,D081,10000050,1
20210326,D083,10000050,1
20210326,D083,10040465,1
20210326,D084,10000050,1
20210326,D085,10000050,1
20210326,D086,10000050,1
20210326,D086,10000906,1
20210326,D093,10000050,1
20210326,D098,10000050,1
20210326,D101,10000050,1
20210326,D101,10000069,1
20210326,D105,10000050,1
20210326,D105,10040465,1
20210326,D120,10000050,1
20210326,D144,10000050,1
20210326,D145,10000050,1
20210326,D145,10000069,1
20210326,D354,10000000,1
20210326,D677,10000050,1
20210326,D677,10000069,1
20210327,D074,10000050,1
20210327,D074,10000069,1
20210327,D075,10000050,1
20210327,D077,10000050,1
20210327,D079,10000050,1
20210327,D079,10040465,1
